customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8940-TPBV,Female,0,No,No,69,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,43.22,3966.79,Yes
8136-JXUA,Female,1,No,Yes,29,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,86.24,6778.07,Yes
0032-UMBP,Male,1,Yes,No,50,No,No phone service,DSL,No,Yes,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),32.26,1905.38,Yes
1975-LRPY,Female,1,Yes,No,8,No,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),25.36,2242.74,No
5158-MCBB,Male,1,Yes,Yes,63,No,No phone service,No,Yes,No,No,No,Yes,No internet service,One year,Yes,Mailed check,29.89,8352.08,Yes
7212-FBWV,Male,1,No,No,22,Yes,Yes,No,Yes,No,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,104.97,7497.68,No
8815-TZXL,Male,1,No,No,66,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),49.38,3986.65,No
1231-DITR,Male,0,No,No,36,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,118.68,755.53,Yes
9583-XQZA,Female,1,No,No,36,Yes,No,DSL,Yes,No internet service,No,No internet service,Yes,No,One year,Yes,Electronic check,41.85,3464.02,No
7178-TEZB,Female,1,Yes,No,19,No,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,52.64,4908.25,Yes
2107-YVQL,Female,0,Yes,Yes,59,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,No,One year,Yes,Electronic check,117.38,1700.97,Yes
0935-LEGZ,Male,1,Yes,Yes,50,No,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Two year,Yes,Electronic check,64.4,1229.03,Yes
4669-ZQCH,Female,1,Yes,No,2,No,No phone service,DSL,No internet service,No,No internet service,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),55.82,3529.7,Yes
3789-XARZ,Female,0,No,Yes,17,Yes,No phone service,DSL,No,No,No,No internet service,No,No,Two year,No,Credit card (automatic),112.96,6037.22,Yes
9653-TCGD,Male,0,Yes,Yes,47,No,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,No,Electronic check,26.37,6316.45,Yes
9750-KPOC,Female,1,No,Yes,67,No,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,Two year,No,Electronic check,106.18,6410.48,No
4627-GYVE,Female,1,No,Yes,55,No,No phone service,DSL,No,No internet service,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,35.42,6210.06,No
3976-ATVG,Female,0,Yes,No,11,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),19.59,7011.5,No
3591-IATT,Male,1,No,No,46,Yes,No phone service,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,41.23,788.84,No
4749-KEXI,Male,1,No,No,6,No,Yes,DSL,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),103.78,3229.08,Yes
4950-ZUIN,Male,1,Yes,No,38,No,No phone service,Fiber optic,No,Yes,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),51.5,8033.73,Yes
4968-QNVD,Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,26.87,6874.63,Yes
7552-PQJH,Female,0,No,No,36,No,No,DSL,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),87.61,4324.35,No
2958-VBLJ,Female,1,Yes,Yes,42,Yes,No,No,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),77.15,8311.22,Yes
9743-CEFG,Female,1,Yes,Yes,9,Yes,No phone service,DSL,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),38.87,2513.96,Yes
2417-NQIR,Male,1,Yes,Yes,6,No,No phone service,No,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,No,Mailed check,96.62,222.41,Yes
5128-YJRB,Female,0,No,No,50,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),39.86,5728.01,No
6891-SWRO,Male,1,No,No,6,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No,One year,No,Credit card (automatic),102.12,4049.5,Yes
6472-JAXT,Female,0,Yes,Yes,39,No,No phone service,No,No,No internet service,No internet service,No,No internet service,No,One year,Yes,Mailed check,79.41,7160.12,Yes
3027-VLRL,Male,0,Yes,No,54,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,Two year,No,Bank transfer (automatic),54.9,364.54,No
5367-MKFK,Male,0,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No,No,No,Two year,No,Credit card (automatic),62.54,6695.82,Yes
6354-QEUG,Male,1,Yes,No,9,No,No,No,No,No internet service,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),55.13,691.52,No
9189-XGXC,Male,0,Yes,No,59,No,Yes,DSL,No,Yes,No,Yes,No,No internet service,Two year,No,Credit card (automatic),50.26,812.36,No
9540-DRKO,Male,0,Yes,Yes,47,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,38.06,896.48,No
4472-EGDQ,Male,1,No,No,30,Yes,No,DSL,Yes,No internet service,No,No,Yes,Yes,One year,Yes,Electronic check,89.6,3420.6,Yes
6236-ENDM,Male,0,Yes,No,14,Yes,No phone service,No,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,100.97,4606.44,No
4608-JWKS,Female,0,Yes,No,46,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),107.21,5652.22,Yes
7435-WBGJ,Male,0,Yes,Yes,58,Yes,No phone service,No,Yes,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,46.11,2292.08,No
1556-TKGC,Female,1,No,Yes,36,No,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,One year,No,Credit card (automatic),96.33,4457.69,Yes
2262-HIMW,Male,1,Yes,Yes,46,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,84.85,5482.98,No
9963-WVWZ,Female,1,Yes,Yes,30,Yes,No phone service,No,No,Yes,No,Yes,No internet service,No,Two year,No,Electronic check,106.67,7606.06,Yes
8491-NVED,Male,0,No,No,33,No,No phone service,No,No,No internet service,Yes,No internet service,No,Yes,One year,No,Mailed check,113.3,2012.53,No
1705-OCCP,Female,0,Yes,No,67,No,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),62.01,7421.24,Yes
4128-DGEK,Female,0,Yes,Yes,37,No,Yes,DSL,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,54.1,7319.92,Yes
4206-YWQK,Female,1,No,Yes,39,No,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,Two year,No,Electronic check,103.14,8616.91,No
7508-MNXK,Male,1,Yes,Yes,62,Yes,No phone service,No,Yes,No,No,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),104.75,268.7,No
9594-QBGY,Male,1,No,No,39,Yes,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),89.58,1170.77,Yes
6856-NNDV,Female,1,No,No,60,No,No,DSL,No internet service,No,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,30.43,6726.06,No
2904-NVIW,Male,1,No,No,44,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),76.15,8236.08,Yes
0043-XQPA,Female,1,Yes,No,24,No,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),91.15,8671.62,No
0364-LQXO,Female,0,Yes,No,13,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),116.64,1634.31,No
0612-OZXC,Female,1,Yes,No,63,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No,Yes,One year,Yes,Mailed check,53.78,3194.88,No
3813-WPKM,Female,0,No,Yes,55,No,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),34.19,7536.14,No
0460-QBZB,Male,0,No,Yes,41,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Mailed check,38.77,5969.12,No
7829-ARMA,Male,1,No,Yes,26,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.54,1912.71,No
5874-DZTQ,Male,1,Yes,Yes,34,Yes,No phone service,DSL,Yes,No,Yes,Yes,No internet service,No,One year,Yes,Mailed check,111.31,636.27,Yes
0553-ELLO,Male,1,No,No,55,No,No,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,85.77,2028.11,Yes
4416-XIPY,Male,0,Yes,Yes,52,No,No phone service,DSL,No,Yes,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),70.5,3744.12,Yes
3871-YCOQ,Male,0,No,Yes,60,Yes,Yes,No,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Electronic check,105.95,2363.18,No
7318-DIHD,Female,0,No,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No,No,One year,Yes,Electronic check,64.28,5575.81,No
8809-HSVT,Female,1,No,No,12,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No,Two year,No,Bank transfer (automatic),109.84,3127.19,Yes
3594-GJWP,Female,0,No,No,54,Yes,No,No,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,76.34,4620.64,No
0722-ONSM,Female,0,Yes,Yes,47,Yes,No phone service,No,No,No,Yes,No internet service,Yes,Yes,One year,No,Mailed check,66.88,4197.0,Yes
6684-OPGD,Male,0,No,Yes,10,No,No phone service,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,One year,No,Mailed check,118.58,8159.09,No
7327-IVRN,Female,0,Yes,No,66,No,Yes,DSL,Yes,Yes,Yes,No,No internet service,No,Two year,No,Credit card (automatic),91.76,8536.88,No
6059-XIFJ,Male,0,No,No,29,Yes,No phone service,No,No internet service,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),41.5,8617.9,No
3076-ZORO,Female,1,Yes,No,30,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,One year,No,Electronic check,35.09,6423.87,Yes
5594-UQGJ,Female,0,No,Yes,42,Yes,No,No,No,No,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),58.99,7031.33,No
4658-SEME,Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,One year,No,Electronic check,71.98,1066.45,No
8454-ZFEU,Female,0,No,No,8,No,No,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,88.64,2333.82,No
5081-INXT,Female,1,No,Yes,5,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,21.69,3522.12,No
5297-WLKT,Male,1,No,Yes,44,No,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,One year,No,Electronic check,35.61,7348.47,Yes
9180-OZEA,Female,1,Yes,Yes,33,Yes,No,No,No internet service,Yes,No internet service,No,Yes,No internet service,One year,No,Mailed check,88.03,7841.11,No
9663-QLJI,Female,0,Yes,No,36,No,Yes,DSL,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,50.36,393.07,No
2578-DXHH,Male,1,No,No,20,No,No phone service,No,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),61.02,6682.5,Yes
6351-VVSV,Male,1,Yes,Yes,23,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),67.73,553.64,Yes
6809-BTPA,Male,0,No,Yes,2,No,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),64.09,3711.35,Yes
4333-JUUK,Female,1,Yes,No,4,Yes,Yes,DSL,Yes,No,No internet service,No,No,Yes,Two year,No,Mailed check,52.15,7123.67,No
7430-RAMI,Female,1,No,Yes,62,No,Yes,No,No internet service,No,No,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),91.58,973.4,No
7386-XXXR,Female,1,Yes,No,29,No,No,No,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),39.23,2380.02,Yes
0889-SFRJ,Female,1,Yes,Yes,43,Yes,No phone service,DSL,No internet service,No,Yes,No internet service,Yes,No,One year,Yes,Mailed check,32.63,8196.55,No
3419-CSHJ,Female,1,No,No,15,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,No,Mailed check,55.49,4559.06,No
6891-JKJR,Female,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No,No,Yes,No,One year,No,Credit card (automatic),100.31,6654.04,Yes
